ocs_nome;ocs_inscricao_federal;ocs_endereco;ocs_endereco_numero;ocs_endereco_bairro;ocs_endereco_cidade;ocs_endereco_uf;ocs_endereco_cep;ocs_contato_telefone
CARDIOVITA SERVIÇOS MÉDICOS LTDA;18674947000224;Rua Capitão Carlos de Moura;385;Vila Pantaleão;Caçapava;SP;12280050;1236255433
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;53325148000162;Avenida Doutor Adhemar de Barros;306;Jardim São Dimas;São José dos Campos;SP;12245011;1239231755
CENTRO ONCOLÓGICO DO VALE;00745887000570;Avenida John Fitzgerald Kennedy;856;Jardim das Nações;Taubaté;SP;12030200;1239249055
CLÍNICA ORTOPÉDICA SANTA LUCIA;46654182000115;Rua Coronel José Guimarães;400;Vila Resende;Caçapava;SP;12282330;1236533341
ORTOPEDIA E FISIOTERAPIA MONTELLO LTDA;05307040000102;Rua 14 de Abril;187;Centro;Caçapava;SP;12282350;1236531654
RAAJ8 SERVIÇOS EM OFTALMOLOGIA;10857578000112;Avenida São João;570;Jardim Esplanada II;São José dos Campos;SP;12242840;1291749566
CLÍNICA DE UROGINECOLOGIA;04043257000181;Avenida Charles Schnneider (Bosque Flamboyant);1236;Parque Senhor do Bonfim;Taubaté;SP;12040000;1236226877
IPMMI-HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO;60194990000763;Avenida Heitor Villa Lobos;1961;Vila Renata;São José dos Campos;SP;12245280;123220777
FISIO VIP CLIN LTDA;07202407000140;Rua Cel. João Dias Guimarães;78;Centro;Caçapava;SP;12281350;1236528026
LABORATÓRIO DE ANÁLISES CLÍNICAS SÃO JOSE;45182441000351;Rua Comendador João Lopes;230;Centro;Caçapava;SP;12281490;1236532717
M.A. MONTANHA RUGGERI LABORATÓRIO - EPP;17271469000168;Praça Doutor Pedro de Toledo;40;Centro;Caçapava;SP;12281500;1236328685
L&L PSICOLOGIA LTDA;21164133000173;Rua Armando de Oliveira Cobra;50;Parque Residencial Aquarius;São José dos Campos;SP;12246002;12981384825
ONCOVIDA ONCO-HEMATOLOGIA LTDA;03511658000156;Avenida Independência;1800;Independência;Taubaté;SP;12032000;1236822207
ASSOCIAÇÃO DE EQUOTERAPIA SAÚDE E EDUCAÇÃO TROTANDO EM FRENTE LTDA;36192103000148;Rua José Benedito de Araujo;300;Chácara São Judas Tadeu;Caçapava;SP;12290250;12996811015
SERVASC CLÍNICA VASCULAR LTDA;31539542000160;Praça Doutor Pedro de Toledo;145;Centro;Caçapava;SP;12281500;12992048345
ENDOCARD CLÍNICA MÉDICA D.B.F. LTDA;03255292000100;Avenida John Fitzgerald Kennedy;991;Jardim das Nações;Taubaté;SP;12030200;1236217212
COE CENTRO DE OLHOS E ESPECIALIDADES;02017241000179;Rua Equador;149;Jardim das Nações;Taubaté;SP;12030470;1236334362
PERSONALCLIN - PRESTAÇÃO DE SERVIÇOS DE SAÚDE EIRELI;06157936000107;Rua Coronel Augusto Monteiro;456;Centro;Taubaté;SP;12020160;1236227776
CLÍNICA DE EMAGRECIMENTO E BEM ESTAR;24343845000148;Rua Ary Barroso;380;Vila Santos;Caçapava;SP;12280020;12991675888
CEMEV-CLÍNICA DE ESPECIALIDADES MÉDICAS DO VALE LTDA;12337061000128;Praça Antilhas;90;Vila Rubi;São José dos Campos;SP;12245571;1233221301
REABILITAR SAÚDE CLÍNICA DE FISIOTERAPIA LTDA;26676567000176;Rua Desembargador Alípio Bastos;75;Vila Resende;Caçapava;SP;12282260;1236533819
CENTRO MÉDICO E OFTALMOLÓGICO ALMEIDA CREPALDI LTDA;35808256000104;Avenida Barão do Rio Branco;1158;Jardim Esplanada II;São José dos Campos;SP;12242800;1297994718
QUAGGIO SERVIÇOS ODONTOLÓGICOS LTDA;08505108000148;Rua Eliza Costa Santos;147;Jardim São Dimas;São José dos Campos;SP;12245380;1239219899
MASTERCLIN CLÍNICA FISIOTERAPÊUTICA LTDA;05690338000489;Rua Anizio Ortiz Monteiro;352;Centro;Taubaté;SP;12010000;1236080733
PLANI DIAGNÓSTICOS MÉDICOS LTDA;48963698000410;Avenida Nove de Julho;305;Jardim Apolo;São José dos Campos;SP;12243000;1237975411
CLÍNICA OFTALMOLÓGICA ALMEIDA E VENÂNCIO LTDA;08459902000100;Rua Quinze de Novembro;199;Centro;Taubaté;SP;12020000;1288540041
CENTRO DE VALORIZAÇÃO DA VIDA FRANCISCA JULIA;61956496000247;Estrada Dr. Bezerra de Menezes;700;Torrão de Ouro;São José dos Campos;SP;12229380;1239449093
INSTITUTO DE RADIOTERAPIA DO VALE DO PARAÍBA LTDA;47534318000205;Rua Major Antonio Domingues;494;Centro;São José dos Campos;SP;12245750;1239289055
VID LAP SS LTDA;00345498000124;Praça Dr. Pedro de Toledo;145;Centro;Caçapava;SP;12281500;1236542450
CENTRO DIAGNÓSTICO ANDRADE;46629986000911;Avenida São João;1644;Jardim Esplanada II;São José dos Campos;SP;12242840;1221239200
HEMACORE - SERVIÇO DE HEMATOLOGIA DE SJC LTDA;50460005000175;Rua Teopompo de Vasconcelos;147;Vila Adyana;São José dos Campos;SP;12243830;1235193290
SERVIÇOS DE TRATAMENTO AO CÂNCER DE TAUBATÉ LTDA;33069700000191;Avenida John Fitzgerald Kennedy;973;Jardim das Nações;Taubaté;SP;12030200;1236318559
HOSPITAL DE OLHOS DO VALE - EXCIMER LASER VALE DO PARAIBA LTDA;04291010000184;Rua Itajai;60;Jardim Aquarius;São José dos Campos;SP;12246858;1238784244
IPMMI-HOSPITALPIO XII;60194990000682;Rua Paraguaçu;51;Santana;São José dos Campos;SP;12212110;1237977562
CLÍNICA DE NEURODESENVOLVIMENTO TEAR MAIS;52038514000210;Rua XV de Novembro;475;Vila Pantaleão;Caçapava;SP;12280040;12997716619
CLÍNICA AUMERA;48245842000130;Rua Coronel João Dias Guimarães;88;Vila São João;Caçapava;SP;12281350;1236553003
ESPAÇO NEURO&PSI LTDA;54753279000103;Rua Capitão Carlos de Moura;288;Vila Pantaleão;Caçapava;SP;12280050;1296537979
CLINÍCA MÉDICA ESSENZA LTDA;32110791000107;Avenida John Fitzgerald Kennedy;1005;Jardim das Nações;Taubaté;SP;12030200;1236226290
PRO IMAGEM PINDA;00569926000100;Ladeira Barão de Pindamonhangaba;84;Bosque da Princesa;Pindamonhangaba;SP;12401320;1236431516
PRO IMAGEM TAUBATÉ;02768662000131;Avenida Nove de Julho;216;Centro;Taubaté;SP;12020200;1236255816
INTERDIÁLOGOS TRANSFORMAÇÃO PLURAL LTDA;53924076000170;Rua Doutor Fausto Vilas Boas;44;São Benedito;Pindamonhangaba;SP;12410160;12982369932
3B BASLER;13406788000182;Rua Doutor Laerte Machado Guimarães;328;São Benedito;Pindamonhangaba;SP;12410180;1235225109
