ocs_nome;ocs_tipo;ocs_contrato_numero;ocs_inicio_vigencia;ocs_termino_vigencia;especialidades;proc_codigo_dgp;proc_origem;proc_descricao;valor;tabela_referencia;descricao_grupo
CARDIOVITA SERVIÇOS MÉDICOS LTDA;OCS;15/21;2021-12-17;2026-12-17;OUTROS;LOCAL-000001;OCS_LOCAL;Consulta;101.44;;Todas as especialidades
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;LOCAL-000002;OCS_LOCAL;Consulta eletiva;60.0;;Cardiologia
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;LOCAL-000003;OCS_LOCAL;ECG;21.0;CBHPM 2012 UCO 14,33;Exames complementares
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;40901106;TUSS;Ecodopplercardiograma transtorácico;175.0;CBHPM 2012 UCO 14,33;Exames complementares
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;LOCAL-000004;OCS_LOCAL;Doppler colorido de carótidas e vertebrais;210.0;;Exames complementares
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;LOCAL-000005;OCS_LOCAL;Teste ergométrico computadorizado;90.3;;Exames complementares
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;LOCAL-000006;OCS_LOCAL;Mapa monitorização da pressão arterial 24 hs;122.5;;Exames complementares
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;LOCAL-000007;OCS_LOCAL;Holter de 24 hs;122.5;;Exames complementares
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;LOCAL-000008;OCS_LOCAL;Avaliação de marca-passo;80.0;;Exames complementares
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;LOCAL-000009;OCS_LOCAL;Doppler de membros inferiores arterial;150.0;;Exames complementares
CENTROCOR - CENTRO DE DIAGNÓSTICO E CIRURGIA DO CORAÇÃO LTDA;OCS;01/2023;2023-08-08;2028-08-08;CARDIOLOGISTA;LOCAL-000010;OCS_LOCAL;Doppler de membros inferiores venoso;150.0;;Exames complementares
CENTRO ONCOLÓGICO DO VALE;OCS;17/2022;2022-11-03;2027-11-03;OUTROS;LOCAL-000011;OCS_LOCAL;Consulta eletiva;93.06;;Oncologia
CENTRO ONCOLÓGICO DO VALE;OCS;17/2022;2022-11-03;2027-11-03;OUTROS;LOCAL-000012;OCS_LOCAL;Taxa;7.9;;APLICAÇÃO EV – P S/ AMB.
CENTRO ONCOLÓGICO DO VALE;OCS;17/2022;2022-11-03;2027-11-03;OUTROS;LOCAL-000013;OCS_LOCAL;Taxa;7.9;;APLICAÇÃO I.M. – P S/ AMB
